name,num_workers,workers_distribution,policy_name,num_items,data_bal,items_diff,num_states,cost,cost_std,recall,recall_std,precision,precision_std,loss,loss_std,f1,f1_std,fbeta,fbeta_std,estimate_after,avg_error_rate,wce,wce_std,fnc,fpc
diff-states-fnc-1-fpc-1,100,"Normal(1,0.2)",vc-5states-fnc-1-fpc-1.policy,1000,0.5,0.5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,False,1,0.5,0.0,-1,-1
diff-states-fnc-1-fpc-5,100,"Normal(1,0.2)",vc-5states-fnc-1-fpc-5.policy,1000,0.5,0.5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,False,1,0.5,0.0,-1,-5
diff-states-fnc-5-fpc-1,100,"Normal(1,0.2)",vc-5states-fnc-5-fpc-1.policy,1000,0.5,0.5,5,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.667,0.0,0.963,0.0,False,1,0.5,0.0,-5,-1
diff-states-fnc-5-fpc-5,100,"Normal(1,0.2)",vc-5states-fnc-5-fpc-5.policy,1000,0.5,0.5,5,1.0,0.0,0.758,0.013,0.754,0.014,0.728,0.034,0.756,0.01,0.758,0.013,False,1,1.222,0.055,-5,-5
diff-states-fnc-1-fpc-1,100,"Normal(1,0.2)",vc-5states-fnc-1-fpc-1.policy,1000,0.5,0.5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,True,1,0.5,0.0,-1,-1
diff-states-fnc-1-fpc-5,100,"Normal(1,0.2)",vc-5states-fnc-1-fpc-5.policy,1000,0.5,0.5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,True,1,0.5,0.0,-1,-5
diff-states-fnc-5-fpc-1,100,"Normal(1,0.2)",vc-5states-fnc-5-fpc-1.policy,1000,0.5,0.5,5,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.667,0.0,0.963,0.0,True,1,0.5,0.0,-5,-1
diff-states-fnc-5-fpc-5,100,"Normal(1,0.2)",vc-5states-fnc-5-fpc-5.policy,1000,0.5,0.5,5,1.0,0.0,0.757,0.024,0.755,0.021,0.73,0.064,0.756,0.019,0.757,0.024,True,1,1.222,0.096,-5,-5
diff-states-fnc-1-fpc-1,100,"Normal(1,0.2)",vc-9states-fnc-1-fpc-1.policy,1000,0.5,0.5,9,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,False,1,0.5,0.0,-1,-1
diff-states-fnc-1-fpc-5,100,"Normal(1,0.2)",vc-9states-fnc-1-fpc-5.policy,1000,0.5,0.5,9,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,False,1,0.5,0.0,-1,-5
diff-states-fnc-5-fpc-1,100,"Normal(1,0.2)",vc-9states-fnc-5-fpc-1.policy,1000,0.5,0.5,9,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.667,0.0,0.963,0.0,False,1,0.5,0.0,-5,-1
diff-states-fnc-5-fpc-5,100,"Normal(1,0.2)",vc-9states-fnc-5-fpc-5.policy,1000,0.5,0.5,9,1.0,0.0,0.746,0.02,0.754,0.014,0.757,0.053,0.75,0.015,0.746,0.02,False,1,1.243,0.072,-5,-5
diff-states-fnc-1-fpc-1,100,"Normal(1,0.2)",vc-9states-fnc-1-fpc-1.policy,1000,0.5,0.5,9,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,True,1,0.5,0.0,-1,-1
diff-states-fnc-1-fpc-5,100,"Normal(1,0.2)",vc-9states-fnc-1-fpc-5.policy,1000,0.5,0.5,9,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,True,1,0.5,0.0,-1,-5
diff-states-fnc-5-fpc-1,100,"Normal(1,0.2)",vc-9states-fnc-5-fpc-1.policy,1000,0.5,0.5,9,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.667,0.0,0.963,0.0,True,1,0.5,0.0,-5,-1
diff-states-fnc-5-fpc-5,100,"Normal(1,0.2)",vc-9states-fnc-5-fpc-5.policy,1000,0.5,0.5,9,1.0,0.0,0.761,0.017,0.755,0.02,0.722,0.047,0.758,0.015,0.76,0.017,True,1,1.216,0.082,-5,-5
