name,num_workers,workers_distribution,policy_name,num_items,data_bal,items_diff,num_states,cost,cost_std,recall,recall_std,precision,precision_std,loss,loss_std,f1,f1_std,fbeta,fbeta_std,estimate_after,avg_error_rate,wce,wce_std,fnc,fpc
base-fnc-1-fpc-1,100,"Normal(2.1,0.105)",wrong-cost-fnc-1-fpc-1.policy,1000,0.5,0.5,23,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,False,1,0.5,0.0,-1,-1
base-fnc-1-fpc-5,100,"Normal(2.1,0.105)",wrong-cost-fnc-1-fpc-5.policy,1000,0.5,0.5,23,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,False,1,0.5,0.0,-1,-5
base-fnc-1-fpc-10,100,"Normal(2.1,0.105)",wrong-cost-fnc-1-fpc-10.policy,1000,0.5,0.5,23,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,False,1,0.5,0.0,-1,-10
base-fnc-1-fpc-500,100,"Normal(2.1,0.105)",wrong-cost-fnc-1-fpc-500.policy,1000,0.5,0.5,23,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,False,1,0.5,0.0,-1,-500
base-fnc-5-fpc-1,100,"Normal(2.1,0.105)",wrong-cost-fnc-5-fpc-1.policy,1000,0.5,0.5,23,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.667,0.0,0.963,0.0,False,1,0.5,0.0,-5,-1
base-fnc-5-fpc-5,100,"Normal(2.1,0.105)",wrong-cost-fnc-5-fpc-5.policy,1000,0.5,0.5,23,1.0,0.0,0.623,0.025,0.621,0.012,1.133,0.061,0.622,0.017,0.623,0.024,False,1,1.894,0.067,-5,-5
base-fnc-5-fpc-10,100,"Normal(2.1,0.105)",wrong-cost-fnc-5-fpc-10.policy,1000,0.5,0.5,23,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,False,1,2.5,0.0,-5,-10
base-fnc-5-fpc-500,100,"Normal(2.1,0.105)",wrong-cost-fnc-5-fpc-500.policy,1000,0.5,0.5,23,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,False,1,2.5,0.0,-5,-500
base-fnc-10-fpc-1,100,"Normal(2.1,0.105)",wrong-cost-fnc-10-fpc-1.policy,1000,0.5,0.5,23,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.667,0.0,0.99,0.0,False,1,0.5,0.0,-10,-1
base-fnc-10-fpc-5,100,"Normal(2.1,0.105)",wrong-cost-fnc-10-fpc-5.policy,1000,0.5,0.5,23,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.667,0.0,0.99,0.0,False,1,2.5,0.0,-10,-5
base-fnc-10-fpc-10,100,"Normal(2.1,0.105)",wrong-cost-fnc-10-fpc-10.policy,1000,0.5,0.5,23,1.0,0.0,0.606,0.013,0.618,0.013,2.156,0.068,0.612,0.012,0.607,0.013,False,1,3.844,0.123,-10,-10
base-fnc-10-fpc-500,100,"Normal(2.1,0.105)",wrong-cost-fnc-10-fpc-500.policy,1000,0.5,0.5,23,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,False,1,5.0,0.0,-10,-500
base-fnc-500-fpc-1,100,"Normal(2.1,0.105)",wrong-cost-fnc-500-fpc-1.policy,1000,0.5,0.5,23,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.667,0.0,1.0,0.0,False,1,0.5,0.0,-500,-1
base-fnc-500-fpc-5,100,"Normal(2.1,0.105)",wrong-cost-fnc-500-fpc-5.policy,1000,0.5,0.5,23,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.667,0.0,1.0,0.0,False,1,2.5,0.0,-500,-5
base-fnc-500-fpc-10,100,"Normal(2.1,0.105)",wrong-cost-fnc-500-fpc-10.policy,1000,0.5,0.5,23,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.667,0.0,1.0,0.0,False,1,5.0,0.0,-500,-10
base-fnc-500-fpc-500,100,"Normal(2.1,0.105)",wrong-cost-fnc-500-fpc-500.policy,1000,0.5,0.5,23,5.141,0.081,0.711,0.021,0.709,0.017,72.346,5.216,0.71,0.016,0.711,0.021,False,1,145.35,7.603,-500,-500
base-fnc-1-fpc-1,100,"Normal(2.1,0.105)",wrong-cost-fnc-1-fpc-1.policy,1000,0.5,0.5,23,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,True,1,0.5,0.0,-1,-1
base-fnc-1-fpc-5,100,"Normal(2.1,0.105)",wrong-cost-fnc-1-fpc-5.policy,1000,0.5,0.5,23,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,True,1,0.5,0.0,-1,-5
base-fnc-1-fpc-10,100,"Normal(2.1,0.105)",wrong-cost-fnc-1-fpc-10.policy,1000,0.5,0.5,23,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,True,1,0.5,0.0,-1,-10
base-fnc-1-fpc-500,100,"Normal(2.1,0.105)",wrong-cost-fnc-1-fpc-500.policy,1000,0.5,0.5,23,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,True,1,0.5,0.0,-1,-500
base-fnc-5-fpc-1,100,"Normal(2.1,0.105)",wrong-cost-fnc-5-fpc-1.policy,1000,0.5,0.5,23,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.667,0.0,0.963,0.0,True,1,0.5,0.0,-5,-1
base-fnc-5-fpc-5,100,"Normal(2.1,0.105)",wrong-cost-fnc-5-fpc-5.policy,1000,0.5,0.5,23,1.0,0.0,0.616,0.021,0.615,0.015,1.154,0.05,0.615,0.014,0.616,0.02,True,1,1.926,0.068,-5,-5
base-fnc-5-fpc-10,100,"Normal(2.1,0.105)",wrong-cost-fnc-5-fpc-10.policy,1000,0.5,0.5,23,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,True,1,2.5,0.0,-5,-10
base-fnc-5-fpc-500,100,"Normal(2.1,0.105)",wrong-cost-fnc-5-fpc-500.policy,1000,0.5,0.5,23,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,True,1,2.5,0.0,-5,-500
base-fnc-10-fpc-1,100,"Normal(2.1,0.105)",wrong-cost-fnc-10-fpc-1.policy,1000,0.5,0.5,23,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.667,0.0,0.99,0.0,True,1,0.5,0.0,-10,-1
base-fnc-10-fpc-5,100,"Normal(2.1,0.105)",wrong-cost-fnc-10-fpc-5.policy,1000,0.5,0.5,23,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.667,0.0,0.99,0.0,True,1,2.5,0.0,-10,-5
base-fnc-10-fpc-10,100,"Normal(2.1,0.105)",wrong-cost-fnc-10-fpc-10.policy,1000,0.5,0.5,23,1.0,0.0,0.623,0.024,0.618,0.014,2.077,0.119,0.62,0.017,0.623,0.023,True,1,3.811,0.148,-10,-10
base-fnc-10-fpc-500,100,"Normal(2.1,0.105)",wrong-cost-fnc-10-fpc-500.policy,1000,0.5,0.5,23,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,True,1,5.0,0.0,-10,-500
base-fnc-500-fpc-1,100,"Normal(2.1,0.105)",wrong-cost-fnc-500-fpc-1.policy,1000,0.5,0.5,23,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.667,0.0,1.0,0.0,True,1,0.5,0.0,-500,-1
base-fnc-500-fpc-5,100,"Normal(2.1,0.105)",wrong-cost-fnc-500-fpc-5.policy,1000,0.5,0.5,23,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.667,0.0,1.0,0.0,True,1,2.5,0.0,-500,-5
base-fnc-500-fpc-10,100,"Normal(2.1,0.105)",wrong-cost-fnc-500-fpc-10.policy,1000,0.5,0.5,23,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.667,0.0,1.0,0.0,True,1,5.0,0.0,-500,-10
base-fnc-500-fpc-500,100,"Normal(2.1,0.105)",wrong-cost-fnc-500-fpc-500.policy,1000,0.5,0.5,23,7.449,0.053,0.724,0.016,0.727,0.016,69.086,3.902,0.726,0.013,0.724,0.016,True,1,137.0,6.523,-500,-500
