name,num_workers,workers_distribution,policy_name,num_items,data_bal,items_diff,num_states,cost,cost_std,recall,recall_std,precision,precision_std,loss,loss_std,f1,f1_std,fbeta,fbeta_std,estimate_after,avg_error_rate,wce,wce_std,fnc,fpc
unclassify-fnc-1-fpc-1,100,"Normal(1,0.2)",unclassify-fnc-1-fpc-1-u0.5.policy,1000,0.5,0.5,23,1000.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,False,1,0.0,0.0,-1,-1
unclassify-fnc-1-fpc-5,100,"Normal(1,0.2)",unclassify-fnc-1-fpc-5-u0.5.policy,1000,0.5,0.5,23,5000.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,False,1,0.0,0.0,-1,-5
unclassify-fnc-1-fpc-10,100,"Normal(1,0.2)",unclassify-fnc-1-fpc-10-u0.5.policy,1000,0.5,0.5,23,10000.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,False,1,0.0,0.0,-1,-10
unclassify-fnc-1-fpc-500,100,"Normal(1,0.2)",unclassify-fnc-1-fpc-500-u0.5.policy,1000,0.5,0.5,23,500000.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,False,1,0.0,0.0,-1,-500
unclassify-fnc-5-fpc-1,100,"Normal(1,0.2)",unclassify-fnc-5-fpc-1-u0.5.policy,1000,0.5,0.5,23,5000.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,False,1,0.0,0.0,-5,-1
unclassify-fnc-5-fpc-5,100,"Normal(1,0.2)",unclassify-fnc-5-fpc-5-u2.5.policy,1000,0.5,0.5,23,1.0,0.0,0.755,0.022,0.749,0.011,0.738,0.051,0.752,0.012,0.755,0.021,False,1,1.244,0.049,-5,-5
unclassify-fnc-5-fpc-10,100,"Normal(1,0.2)",unclassify-fnc-5-fpc-10-u2.5.policy,1000,0.5,0.5,23,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,False,1,2.5,0.0,-5,-10
unclassify-fnc-5-fpc-500,100,"Normal(1,0.2)",unclassify-fnc-5-fpc-500-u2.5.policy,1000,0.5,0.5,23,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,False,1,2.5,0.0,-5,-500
unclassify-fnc-10-fpc-1,100,"Normal(1,0.2)",unclassify-fnc-10-fpc-1-u0.5.policy,1000,0.5,0.5,23,10000.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,False,1,0.0,0.0,-10,-1
unclassify-fnc-10-fpc-5,100,"Normal(1,0.2)",unclassify-fnc-10-fpc-5-u2.5.policy,1000,0.5,0.5,23,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.667,0.0,0.99,0.0,False,1,2.5,0.0,-10,-5
unclassify-fnc-10-fpc-10,100,"Normal(1,0.2)",unclassify-fnc-10-fpc-10-u5.0.policy,1000,0.5,0.5,23,1.0,0.0,0.755,0.025,0.756,0.012,1.348,0.127,0.755,0.017,0.755,0.025,False,1,2.446,0.143,-10,-10
unclassify-fnc-10-fpc-500,100,"Normal(1,0.2)",unclassify-fnc-10-fpc-500-u5.0.policy,1000,0.5,0.5,23,249851.0,7131.094,0.75,0.013,1.0,0.0,1.248,0.065,0.857,0.009,0.752,0.013,False,1,1.248,0.065,-10,-500
unclassify-fnc-500-fpc-1,100,"Normal(1,0.2)",unclassify-fnc-500-fpc-1-u0.5.policy,1000,0.5,0.5,23,500000.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,False,1,0.0,0.0,-500,-1
unclassify-fnc-500-fpc-5,100,"Normal(1,0.2)",unclassify-fnc-500-fpc-5-u2.5.policy,1000,0.5,0.5,23,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.667,0.0,1.0,0.0,False,1,2.5,0.0,-500,-5
unclassify-fnc-500-fpc-10,100,"Normal(1,0.2)",unclassify-fnc-500-fpc-10-u5.0.policy,1000,0.5,0.5,23,252451.0,6694.961,1.0,0.0,0.806,0.01,0.12,0.008,0.893,0.006,1.0,0.0,False,1,1.204,0.079,-500,-10
unclassify-fnc-500-fpc-500,100,"Normal(1,0.2)",unclassify-fnc-500-fpc-500-u250.0.policy,1000,0.5,0.5,23,6.002,0.1,0.942,0.011,0.94,0.013,14.53,2.654,0.941,0.008,0.942,0.011,False,1,29.55,3.959,-500,-500
unclassify-fnc-1-fpc-1,100,"Normal(1,0.2)",unclassify-fnc-1-fpc-1-u0.5.policy,1000,0.5,0.5,23,1000.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,True,1,0.0,0.0,-1,-1
unclassify-fnc-1-fpc-5,100,"Normal(1,0.2)",unclassify-fnc-1-fpc-5-u0.5.policy,1000,0.5,0.5,23,5000.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,True,1,0.0,0.0,-1,-5
unclassify-fnc-1-fpc-10,100,"Normal(1,0.2)",unclassify-fnc-1-fpc-10-u0.5.policy,1000,0.5,0.5,23,10000.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,True,1,0.0,0.0,-1,-10
unclassify-fnc-1-fpc-500,100,"Normal(1,0.2)",unclassify-fnc-1-fpc-500-u0.5.policy,1000,0.5,0.5,23,500000.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,True,1,0.0,0.0,-1,-500
unclassify-fnc-5-fpc-1,100,"Normal(1,0.2)",unclassify-fnc-5-fpc-1-u0.5.policy,1000,0.5,0.5,23,5000.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,True,1,0.0,0.0,-5,-1
unclassify-fnc-5-fpc-5,100,"Normal(1,0.2)",unclassify-fnc-5-fpc-5-u2.5.policy,1000,0.5,0.5,23,1.0,0.0,0.746,0.016,0.754,0.013,0.757,0.043,0.75,0.013,0.746,0.016,True,1,1.243,0.064,-5,-5
unclassify-fnc-5-fpc-10,100,"Normal(1,0.2)",unclassify-fnc-5-fpc-10-u2.5.policy,1000,0.5,0.5,23,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,True,1,2.5,0.0,-5,-10
